ProductId,final_category,cat_confidence
7310172001,dried fruit,1.0
7310172101,pet food,1.0
B00004CI84,other,1.0
B00004CXX9,other,1.0
B00004RAMS,other,1.0
B00004RAMX,other,1.0
B00004RBDU,other,1.0
B00004RBDZ,other,1.0
B00004RYGX,other,1.0
B00004S1C6,flour & baking mix,1.0
B00005C2M2,milk & cream,1.0
B00005IX96,coffee,1.0
B00005IX98,coffee,1.0
B00006FMLY,cake & pastry,1.0
B00006IDJO,coffee,1.0
B000084388,pet food,1.0
B000084DWM,baby food,1.0
B000084E6V,pet food,1.0
B000084EKW,soup,1.0
B000084ETV,pet food,1.0
B000084EZ4,rice & grain,1.0
B000084F1I,pet food,1.0
B000084F1O,pet food,1.0
B000084F6F,pet food,1.0
B000096OIV,bread,1.0
B0000A0BS8,coffee,1.0
B0000BXJIS,pet food,1.0
B0000CAV3C,coffee,1.0
B0000CERZK,other,1.0
B0000CEU7J,coffee,1.0
B0000D17HA,noodle & pasta,1.0
B0000D9N8O,honey,1.0
B0000DCXCM,nuts & seeds,1.0
B0000DG4NJ,seasoning & spice,1.0
B0000DG586,other,1.0
B0000DG734,cheese,1.0
B0000DGF9V,other,1.0
B0000DID5R,sauce & dressing,1.0
B0000DJ7RX,other,1.0
B0000E2YA1,candy,1.0
B0000ESTGX,candy,1.0
B0000GG256,drink,1.0
B0000GGHMY,sauce & dressing,1.0
B0000GGHVU,drink,1.0
B0000GHEEY,soup,1.0
B0000GHNTK,cake & pastry,1.0
B0000GHNUE,sauce & dressing,1.0
B0000GHNVS,sauce & dressing,1.0
B0000GHNWC,drink,1.0
B0000GHNWM,sauce & dressing,1.0
B0000GIORA,rice & grain,1.0
B0000GIOS4,drink,1.0
B0000GIVFA,drink,1.0
B0000GIZRY,other,1.0
B0000KCKV2,sauce & dressing,1.0
B0000SY9U4,coffee,1.0
B0000TLFIC,candy,1.0
B0000TWLJO,tea,1.0
B0000TZ204,baby food,1.0
B0000VM8TK,nuts & seeds,1.0
B0000W0GQQ,other,1.0
B0000WKU8K,cake & pastry,1.0
B0000Y3PUS,coffee,1.0
B0000ZSH9Q,drink,1.0
B00011RJU2,drink,1.0
B000126ZU6,other,1.0
B00013C2L6,chocolate,1.0
B00014D37W,drink,1.0
B00014DXCC,milk & cream,0.5
B00014JNI0,tea,0.5
B00015ECGC,coffee,1.0
B00015UEM8,other,1.0
B00016JH3O,fruit,1.0
B00016LA7K,seasoning & spice,0.5
B00016LA7U,other,1.0
B00016LA8Y,other,1.0
B00016LZT8,dried fruit,0.5
B00016UX1E,sauce & dressing,1.0
B00017L1TG,snack,1.0
B00017LEXE,snack,1.0
B00017LEXO,snack,1.0
B00018CWLQ,flour & baking mix,1.0
B0001BGTSA,other,1.0
B0001BVJIA,drink,1.0
B0001CVDYO,other,1.0
B0001E5CJO,other,1.0
B0001EQN88,coffee,1.0
B0001ES9F8,coffee,0.5
B0001ES9FI,coffee,1.0
B0001G6VJW,pancake & waffle,1.0
B0001GDC4O,coffee,1.0
B0001GV4QM,other,1.0
B0001GZ6C0,coffee,1.0
B0001I9XO0,oil & vinegar,1.0
B0001IOSDQ,noodle & pasta,1.0
B0001KH4AI,candy,1.0
B0001KL70Q,cheese,1.0
B0001L3HLM,supplement,1.0
B0001LQKBQ,tea,1.0
B0001M0Z3O,supplement,1.0
B0001M11HI,drink,1.0
B0001QNI8Y,tea,1.0
B0001QNMW6,other,1.0
B0001QNMZ8,snack,1.0
B0001UXQ9Q,candy,1.0
B0001VWCV8,sauce & dressing,1.0
B0001VWFBK,seasoning & spice,1.0
B0001VWGWI,seasoning & spice,1.0
B0001W7M1W,cake & pastry,1.0
B0001WA6D8,candy,1.0
B00020HHAO,tea,0.6666666666666666
B00020HHE0,tea,1.0
B00020HHGS,tea,1.0
B00020HHHC,coffee,1.0
B00020HHK4,tea,1.0
B00020HHRW,tea,0.75
B00020UGMU,coffee,1.0
B00020UGNE,candy,1.0
B00020XNUW,chocolate,1.0
B00023T3GW,drink,1.0
B00023T3IA,snack,0.5
B000246WIS,chocolate,1.0
B00024896G,candy,1.0
B00024CW1O,supplement,1.0
B00024D628,chocolate,1.0
B000256DPE,other,1.0
B00027CL5S,pet food,1.0
B00028HN5A,pet food,1.0
B00028LDJC,coffee,1.0
B00028M72E,tea,1.0
B00028N5Q6,tea,1.0
B00029F5E0,drink,1.0
B0002AQ7QO,other,1.0
B0002ARQYQ,pet food,1.0
B0002ASMT4,pet food,1.0
B0002AUTY0,tea,1.0
B0002CDZD0,seasoning & spice,1.0
B0002D1590,candy,1.0
B0002DGM5M,pet food,1.0
B0002DGRQ6,meat,0.6666666666666666
B0002DGRRA,pet food,0.3333333333333333
B0002DGRSY,pet food,1.0
B0002DGRZC,drink,1.0
B0002DGSRO,plant,1.0
B0002DHNLE,jam & spread,1.0
B0002DJFTW,pet food,1.0
B0002DJFUQ,candy,1.0
B0002G3UWM,drink,1.0
B0002G3UY0,tea,1.0
B0002H3SDM,baby food,1.0
B0002H3TBI,pet food,1.0
B0002HDLZW,other,1.0
B0002HV63Q,coffee,1.0
B0002HV730,coffee,1.0
B0002I0GUY,pet food,1.0
B0002I0GVS,pet food,1.0
B0002JG0HG,drink,1.0
B0002K6ESK,biscuit & cookie,1.0
B0002LDAHC,coffee,1.0
B0002MLAFK,baby food,1.0
B0002NV04K,drink,1.0
B0002NVLJO,drink,1.0
B0002PCET8,drink,1.0
B0002PHEW0,seasoning & spice,1.0
B0002PHFBK,coffee,1.0
B0002QEIX2,fruit,1.0
B0002QF0UW,soup,1.0
B0002QX3Q0,pet food,1.0
B0002RE0K2,nuts & seeds,1.0
B0002TJB04,pet food,1.0
B0002UEEAA,tea,1.0
B0002VXZ40,dried fruit,0.5
B0002XEI9O,other,1.0
B0002XIBO2,chocolate,1.0
B0002YBYCW,yogurt,1.0
B0002YGSA0,seasoning & spice,1.0
B0002YW26E,baby food,1.0
B0002YX8QC,other,1.0
B0002Z18SQ,noodle & pasta,1.0
B00032BG3K,dried fruit,1.0
B00032CW9W,other,1.0
