orig_idx,review_idx,sentence_idx,sentence,analysis_category,sentiment,Score,ProductId,review_dt,year_month,embedding,cluster_id,cluster_conf,len,sent_len,high_theme,sub_theme
2,1,0,even though we are international delight fans we were not completely dissapointed by this product.,dairy,positive,4,B003VTN95K,2012-06-25 00:00:00+00:00,2012-06-01 00:00:00+00:00,"[ 0.02585461 -0.03113078 -0.06774545 ...  0.0182104   0.01701945
 -0.00538003]",22,1.0,98,98,Flavor & Quality,Sweetness
6,3,0,"if you've tried the conventional kettle crinkle chip verson salt and peper, you can't compare these to those!",snack,positive,5,B000G6MBX2,2007-05-12 00:00:00+00:00,2007-05-01 00:00:00+00:00,"[-0.00485124 -0.02409996 -0.06178479 ... -0.01482113  0.03353158
 -0.01959945]",26,1.0,109,109,Flavor & Quality,Bitterness
7,3,1,"these are easily some of the most spicy chips you will ever eat, but oompletely enjoyable.",snack,positive,5,B000G6MBX2,2007-05-12 00:00:00+00:00,2007-05-01 00:00:00+00:00,"[ 0.05167313 -0.02031415 -0.07195054 ... -0.01528153  0.04572215
 -0.04329767]",26,1.0,90,90,Flavor & Quality,Bitterness
8,3,2,you finish the bag and the indside is just coated with spices. great stuff.,snack,positive,5,B000G6MBX2,2007-05-12 00:00:00+00:00,2007-05-01 00:00:00+00:00,"[-0.00673311  0.00726094 -0.05499776 ... -0.0220918   0.00884444
 -0.02576089]",5,1.0,75,75,Flavor & Quality,Herbal
17,7,0,"have bought this from the folks who prepare it and i must say, this is the absolute best item i have ever tasted.",snack,positive,5,B007237380,2012-03-22 00:00:00+00:00,2012-03-01 00:00:00+00:00,"[ 0.00396747 -0.01729277 -0.04155905 ...  0.05237825  0.00552817
 -0.00662099]",7,1.0,113,113,Flavor & Quality,Herbal
18,7,1,"they make this at a farm in benson, az and it tastes like heaven.",snack,positive,5,B007237380,2012-03-22 00:00:00+00:00,2012-03-01 00:00:00+00:00,"[-0.01208491 -0.01307319 -0.02796375 ...  0.00642715 -0.00498784
 -0.01768296]",2,1.0,65,65,Flavor & Quality,Herbal
19,7,2,highly recommend it for everything...i tend to slice up apples and dip them.,snack,positive,5,B007237380,2012-03-22 00:00:00+00:00,2012-03-01 00:00:00+00:00,"[ 0.00358967 -0.02431352 -0.08006056 ...  0.01004713 -0.02241485
  0.00959224]",14,1.0,76,76,Flavor & Quality,Herbal
20,8,0,"this cocoa powder has a deep, fruity taste- i highly recommend it.",protein snacks,positive,5,B004EKO2HE,2011-10-05 00:00:00+00:00,2011-10-01 00:00:00+00:00,"[ 0.00479903 -0.04270383 -0.05706762 ...  0.01351602 -0.01691924
  0.01658013]",6,1.0,66,66,Flavor & Quality,Fruitiness
21,8,1,"i recently bought a vitamix blender, which means that i now make 5 smoothies a day.",protein snacks,positive,5,B004EKO2HE,2011-10-05 00:00:00+00:00,2011-10-01 00:00:00+00:00,"[-0.06289256  0.0199047  -0.03231643 ...  0.01341482 -0.0521607
  0.01285889]",36,1.0,83,83,Other,
22,8,2,"this cocoa powder, plus some almond milk, frozen fruit, yogurt, and a dash of maple syrup, makes an excellent ""milk shake"".",protein snacks,positive,5,B004EKO2HE,2011-10-05 00:00:00+00:00,2011-10-01 00:00:00+00:00,"[-0.00253133 -0.0361544  -0.05280567 ... -0.00195491 -0.02184904
 -0.02545988]",36,1.0,123,123,Other,
23,9,0,"everyone knows what a tic tac is, but let me tell you something; if you like orange tic tac's, you're going to love wild cherry tic tacs!",candy,positive,5,B005151BV6,2012-01-06 00:00:00+00:00,2012-01-01 00:00:00+00:00,"[ 0.01735491 -0.03653382 -0.06314289 ...  0.02955967 -0.03068626
  0.04015502]",12,1.0,137,137,Health/Nutrition,
24,9,1,very cherry flavored with just enough of a mix of sweet and sour.,candy,positive,5,B005151BV6,2012-01-06 00:00:00+00:00,2012-01-01 00:00:00+00:00,"[ 0.00547081 -0.03635836 -0.06194568 ... -0.00349693 -0.0163637
  0.01258652]",12,1.0,65,65,Health/Nutrition,
28,11,0,"however, the price was $15.95 and i later found the same item in a local store for $6.95.",snack,positive,4,B00116629A,2009-02-16 00:00:00+00:00,2009-02-01 00:00:00+00:00,"[-0.00704493  0.01094595 -0.02046751 ...  0.03156745  0.01365356
  0.03267103]",35,1.0,89,89,Price & Value,
29,14,0,"they were very tasty, crisp, and surprisingly delicious.",snack,positive,5,B007POA176,2012-09-11 00:00:00+00:00,2012-09-01 00:00:00+00:00,"[-0.01828416 -0.04400011 -0.06747667 ... -0.0264542   0.02970253
 -0.01821033]",4,1.0,56,56,Flavor & Quality,Sweetness
30,15,0,used to have to smuggle a few pounds of the stuff back in my suitcase everytime i went out to the midwest!,coffee,positive,5,B0089SPDUW,2011-12-10 00:00:00+00:00,2011-12-01 00:00:00+00:00,"[-0.00501821 -0.00129067 -0.04032815 ... -0.05218937 -0.03269439
  0.00833327]",5,1.0,106,106,Flavor & Quality,Herbal
31,15,1,now i can get in k-cups. yay!,coffee,positive,5,B0089SPDUW,2011-12-10 00:00:00+00:00,2011-12-01 00:00:00+00:00,"[-0.02497052 -0.02230417 -0.03351974 ... -0.00847164 -0.00754759
  0.00783679]",17,1.0,29,29,Brewing/Use Convenience,
32,15,2,fedexing it to the post office makes no sense.,coffee,positive,5,B0089SPDUW,2011-12-10 00:00:00+00:00,2011-12-01 00:00:00+00:00,"[-0.0072943   0.03283421  0.07708672 ...  0.0127864  -0.01769311
  0.03299206]",34,1.0,46,46,Flavor & Quality,Fruitiness
35,17,0,i adore this chowder because it uses natural ingredients and not harmful fillers like msg and partially-hydrogenated oil.,seasoning & spice,positive,5,B000J2DQ46,2011-05-23 00:00:00+00:00,2011-05-01 00:00:00+00:00,"[ 0.0232123   0.00466116 -0.04402056 ...  0.00654098  0.00864117
  0.00044658]",29,1.0,121,121,Flavor & Quality,Herbal
36,17,1,"most importantly, this chowder tastes mouth-watering good and is bursting with flavor.",seasoning & spice,positive,5,B000J2DQ46,2011-05-23 00:00:00+00:00,2011-05-01 00:00:00+00:00,"[ 0.03139512  0.00117193 -0.05230058 ...  0.01941573  0.03961942
 -0.0308534 ]",29,1.0,86,86,Flavor & Quality,Herbal
37,17,2,"i use whole milk and add a pinch of pepper, and this aromatic chowder is devoured in minutes.",seasoning & spice,positive,5,B000J2DQ46,2011-05-23 00:00:00+00:00,2011-05-01 00:00:00+00:00,"[ 0.02318702 -0.02541216 -0.04655104 ... -0.02627188 -0.00065111
 -0.04088704]",36,1.0,93,93,Other,
38,18,0,"i have tried every brand of coconut water that health food stores carry, and this is, by far, my favorite.",drink,positive,5,B0085G4ACA,2011-08-04 00:00:00+00:00,2011-08-01 00:00:00+00:00,"[ 0.02943751 -0.00800077 -0.01973928 ...  0.02578823  0.03156073
  0.03361759]",32,1.0,106,106,Health/Nutrition,
39,18,1,the pineapple flavor does not overwhelm the coconut or vice versa.,drink,positive,5,B0085G4ACA,2011-08-04 00:00:00+00:00,2011-08-01 00:00:00+00:00,"[ 0.03420467 -0.03992992 -0.00923624 ...  0.01149331  0.01898628
  0.0429638 ]",24,1.0,66,66,Flavor & Quality,Bitterness
40,18,2,i also like the tetra pack with the screw on top- it is much more convenient than the smaller 11 oz size which you cannot reseal.,drink,positive,5,B0085G4ACA,2011-08-04 00:00:00+00:00,2011-08-01 00:00:00+00:00,"[ 0.02909595 -0.02281735 -0.02878968 ...  0.03850689  0.01638561
  0.00783085]",5,1.0,129,129,Flavor & Quality,Herbal
41,19,0,this has always been my family's favorite tea for children's (and big kid's) tea parties.,tea,positive,5,B0011X5S8Y,2011-12-06 00:00:00+00:00,2011-12-01 00:00:00+00:00,"[ 0.03607816 -0.01093873 -0.01949589 ... -0.02187745  0.00501332
 -0.01630358]",16,1.0,89,89,Other,
42,20,0,"i bought this mostly because i wanted the peppermint hot cocoa, but i fell in love with the milk chocolate one.",chocolate,positive,5,B005K4Q1VI,2012-01-09 00:00:00+00:00,2012-01-01 00:00:00+00:00,"[-0.0012234  -0.04952666 -0.06231664 ... -0.0260574   0.00405812
  0.01487559]",6,1.0,111,111,Flavor & Quality,Fruitiness
43,20,1,the peppermint was pretty good as well...good cocoa!!!,chocolate,positive,5,B005K4Q1VI,2012-01-09 00:00:00+00:00,2012-01-01 00:00:00+00:00,"[ 0.00256797 -0.04882317 -0.06627531 ... -0.02101217  0.00637391
  0.01599334]",6,1.0,54,54,Flavor & Quality,Fruitiness
44,21,0,out of all of the hot chocolate kcups that i have tried this is by far the best one.,chocolate,positive,5,B005K4Q1VI,2011-11-13 00:00:00+00:00,2011-11-01 00:00:00+00:00,"[-0.01991991 -0.05805852 -0.03219039 ... -0.00194705  0.01444224
 -0.02117471]",7,1.0,84,84,Flavor & Quality,Herbal
45,21,1,"tastes amazing and priced fairly, what more could you ask for?",chocolate,positive,5,B005K4Q1VI,2011-11-13 00:00:00+00:00,2011-11-01 00:00:00+00:00,"[-0.03021081 -0.04395672 -0.04267276 ...  0.00929612  0.02832263
  0.00596349]",11,1.0,62,62,Price & Value,
49,23,0,i combine this with libby's organic black beans and libby's organic green beans mixed with bob's red mill organic brown rice at least two or three times per week for a perfect meal every time!,staples,positive,5,B0040PWYVO,2012-10-19 00:00:00+00:00,2012-10-01 00:00:00+00:00,"[-0.02004083 -0.05527665  0.03143708 ...  0.03479751 -0.02371782
 -0.01388004]",29,1.0,192,192,Flavor & Quality,Herbal
50,24,0,"nothing is worse than stale candy,, so save yourself from anguish and purchase here today",candy,positive,5,B0044UT0O4,2012-01-20 00:00:00+00:00,2012-01-01 00:00:00+00:00,"[-0.00343296 -0.00581563 -0.04910819 ...  0.03008941 -0.01371765
 -0.00472986]",1,1.0,89,89,Flavor & Quality,Sweetness
51,25,0,"i rarely eat anything but whole wheat pasta, but every once in a while, i eat some of this as a treat.",staples,positive,5,B004MDQSDO,2012-09-07 00:00:00+00:00,2012-09-01 00:00:00+00:00,"[-0.04514898 -0.02048103 -0.02791281 ...  0.00572213 -0.01823637
 -0.01151404]",8,1.0,102,102,Other,
52,25,1,almost as good as the pastas that i ate while in italy!,staples,positive,5,B004MDQSDO,2012-09-07 00:00:00+00:00,2012-09-01 00:00:00+00:00,"[-0.08299717 -0.04640807 -0.06785348 ...  0.01177299  0.006662
 -0.00403933]",2,1.0,55,55,Flavor & Quality,Herbal
53,26,0,"i have 3 dogs with different needs and tastes and this is one of the few foods that meets them and basically one of the only ones i can afford. my oldest (14) loves the lamb, my husky loves the glucosamine and the youngest farts less on this food which makes everyone happy. i always try to find food with good ingredients and this meets that standard while staying one of the cheapest foods.",baby & pet,positive,5,B001QEF4XC,2012-10-05 00:00:00+00:00,2012-10-01 00:00:00+00:00,"[ 0.00206841 -0.04145431  0.04934685 ...  0.04787161 -0.01533023
 -0.0019547 ]",27,1.0,392,392,Health/Nutrition,
54,27,0,cant find these in the stores so please keep them in stock.,drink,positive,5,B000HDMW9M,2011-11-20 00:00:00+00:00,2011-11-01 00:00:00+00:00,"[ 0.0317505   0.02551233 -0.02360129 ... -0.01478323  0.01987477
  0.0236832 ]",37,1.0,59,59,Availability/Stock,
55,27,1,make for a great meal with some veggies or a salad...and this type of fish with omega 3's is good for you.,drink,positive,5,B000HDMW9M,2011-11-20 00:00:00+00:00,2011-11-01 00:00:00+00:00,"[ 0.00863554 -0.01652233 -0.03711784 ...  0.04532409 -0.00808147
  0.00413557]",29,1.0,106,106,Flavor & Quality,Herbal
56,28,0,i have a 2 1/2 year old 60 pound german wirehair pointer.,staples,positive,5,B00113XJQW,2012-10-04 00:00:00+00:00,2012-10-01 00:00:00+00:00,"[ 0.02853773  0.00933649 -0.01500486 ... -0.02901256 -0.03627758
  0.00143787]",27,1.0,57,57,Health/Nutrition,
57,28,1,we feed this food during hunting season due to his increased metabolic needs.,staples,positive,5,B00113XJQW,2012-10-04 00:00:00+00:00,2012-10-01 00:00:00+00:00,"[ 0.03563094  0.0468587   0.00139631 ...  0.02973064  0.00824896
 -0.00118776]",22,1.0,77,77,Flavor & Quality,Sweetness
58,28,2,"he burns so many calories, he eats 8 cups of this food a day (with zeal).",staples,positive,5,B00113XJQW,2012-10-04 00:00:00+00:00,2012-10-01 00:00:00+00:00,"[ 0.01494703  0.02755393  0.01689488 ...  0.00789284 -0.00303844
 -0.00076468]",33,1.0,73,73,Flavor & Quality,Sweetness
59,29,0,"i have been using this curry paste for several years now, and it makes a great dish.",seasoning & spice,positive,5,B001HTKO86,2011-04-10 00:00:00+00:00,2011-04-01 00:00:00+00:00,"[-0.02153147 -0.04202334 -0.01767337 ...  0.00685565 -0.00570341
 -0.04523458]",29,1.0,84,84,Flavor & Quality,Herbal
60,29,1,"although it doesn't beat eating indian out, its the best paste i have used for at home dishes.",seasoning & spice,positive,5,B001HTKO86,2011-04-10 00:00:00+00:00,2011-04-01 00:00:00+00:00,"[-0.01221114 -0.01573825 -0.02025444 ...  0.06887504  0.00225965
 -0.02769433]",7,1.0,94,94,Flavor & Quality,Herbal
61,29,2,"even though this is a ""hot"" paste, i would consider it mild.",seasoning & spice,positive,5,B001HTKO86,2011-04-10 00:00:00+00:00,2011-04-01 00:00:00+00:00,"[ 0.01704058 -0.02789274 -0.04397666 ... -0.01775808  0.00270743
 -0.01260854]",18,1.0,60,60,Flavor & Quality,Bitterness
62,30,0,i have a bit of a sweet tooth.,candy,positive,5,B00110FN28,2009-08-27 00:00:00+00:00,2009-08-01 00:00:00+00:00,"[-0.01649321 -0.02513853 -0.04458102 ...  0.01521476 -0.03078394
  0.00164236]",1,1.0,30,30,Flavor & Quality,Sweetness
63,30,1,"i've tried to ignore it in times past, but the reality is that i want--need--a cookie from time-to-time as a welcome addition to my brown bag lunch.",candy,positive,5,B00110FN28,2009-08-27 00:00:00+00:00,2009-08-01 00:00:00+00:00,"[-0.01970187 -0.03492932 -0.03230241 ...  0.00628584 -0.00324576
 -0.00306353]",9,1.0,148,148,Other,
64,30,2,these 1.4 ounce single servings make that easy without overdoing it.,candy,positive,5,B00110FN28,2009-08-27 00:00:00+00:00,2009-08-01 00:00:00+00:00,"[ 0.03063104 -0.05447403 -0.01398619 ... -0.03235633 -0.00142655
  0.05325784]",10,1.0,68,68,Health/Nutrition,
65,31,0,"i have a hard time finding snack foods that don't have wheat, corn, or some sort of sugar sweetener in them.",snack,positive,5,B000CMHMUC,2011-03-11 00:00:00+00:00,2011-03-01 00:00:00+00:00,"[-0.01589546 -0.01781443 -0.0102878  ...  0.02946683 -0.02906171
  0.03123655]",8,1.0,108,108,Other,
66,31,1,"i like them that way, but if you're not used to it and can be kindof surprising.",snack,positive,5,B000CMHMUC,2011-03-11 00:00:00+00:00,2011-03-01 00:00:00+00:00,"[ 0.00953284 -0.02384786 -0.08262211 ... -0.01973442 -0.03967073
 -0.00989245]",34,1.0,80,80,Flavor & Quality,Fruitiness
67,32,0,these soy crisps are very filling and satisfying.,snack,positive,5,B000CMHMUC,2008-07-09 00:00:00+00:00,2008-07-01 00:00:00+00:00,"[-0.00158272 -0.00965715 -0.06739973 ...  0.01604871 -0.03690475
  0.00806684]",4,1.0,49,49,Flavor & Quality,Sweetness
68,32,1,"if you are looking for something with a great salty crunch, these are for you. they are high in fiber and protein, and that is great if you are trying to watch your calorie intake. i think they are great and recommend them highly.",snack,positive,5,B000CMHMUC,2008-07-09 00:00:00+00:00,2008-07-01 00:00:00+00:00,"[ 0.0173269  -0.01114138 -0.02643129 ...  0.00860135 -0.01340195
 -0.02620771]",4,1.0,230,230,Flavor & Quality,Sweetness
69,37,0,"dandelion root is reported to aid in reducing high blood pressure, which is why i drink it.",coffee,positive,5,B0013ENGXK,2012-03-26 00:00:00+00:00,2012-03-01 00:00:00+00:00,"[-0.02410434 -0.02620923  0.02568866 ...  0.0358057  -0.01324041
  0.01400994]",32,1.0,91,91,Health/Nutrition,
70,37,1,"i've pretty much given up coffee drinking and this is a tasty substitute, though one must acquire a taste for it.",coffee,positive,5,B0013ENGXK,2012-03-26 00:00:00+00:00,2012-03-01 00:00:00+00:00,"[-0.03558392 -0.01113219 -0.04968551 ...  0.01360058 -0.02304645
 -0.01236639]",17,1.0,113,113,Brewing/Use Convenience,
71,37,2,at home i use bulk roasted root but these tea bags are fantastic during travel.,coffee,positive,5,B0013ENGXK,2012-03-26 00:00:00+00:00,2012-03-01 00:00:00+00:00,"[-0.02201168 -0.01502449  0.02502735 ...  0.01227808 -0.01070293
 -0.01475523]",3,1.0,79,79,Flavor & Quality,Fruitiness
72,42,0,"first of all, there are two kinds of paprika - sweet and hot.",candy,positive,5,B004LB7A5W,2011-02-06 00:00:00+00:00,2011-02-01 00:00:00+00:00,"[-0.01711811 -0.02168293  0.00106911 ...  0.00075783 -0.02344436
 -0.01684521]",7,1.0,61,61,Flavor & Quality,Herbal
73,42,1,both are delicious but the szeged sweet paprika is more versatile than the hot kind (which is also awesome!).,candy,positive,5,B004LB7A5W,2011-02-06 00:00:00+00:00,2011-02-01 00:00:00+00:00,"[-0.04346009 -0.03091593 -0.06114045 ...  0.01366771  0.04578126
  0.00291843]",7,1.0,109,109,Flavor & Quality,Herbal
